Date,DBC,EEM,GLD,TLT,VNQ,^BSESN,^BVSP,^DJI,^FCHI,^FTSE,^GDAXI,^GSPC,^HSI,^IXIC,^N225,^RUT
2021-03-10,15.001179695129395,47.41913604736328,161.66000366210938,119.61748504638672,73.97659301757812,51279.51171875,112776.0,32297.01953125,5990.5498046875,6725.60009765625,14540.25,3898.81005859375,28907.51953125,13068.830078125,29036.560546875,2285.679931640625
2021-03-11,15.227415084838867,48.9140510559082,161.52000427246094,118.75469970703125,74.8403549194336,51279.51171875,114984.0,32485.58984375,6033.759765625,6737.0,14569.3896484375,3939.340087890625,29385.609375,13398.669921875,29211.640625,2338.5400390625
2021-03-12,15.157805442810059,48.042015075683594,161.49000549316406,116.2345199584961,76.0944595336914,50792.078125,114160.0,32778.640625,6046.5498046875,6761.5,14502.3896484375,3943.340087890625,28739.720703125,13319.8603515625,29717.830078125,2352.7900390625
2021-03-15,15.105596542358398,48.15769958496094,162.1999969482422,116.91790771484375,77.2240219116211,50395.078125,114851.0,32953.4609375,6035.97021484375,6749.7001953125,14461.419921875,3968.93994140625,28833.759765625,13459.7099609375,29766.970703125,2360.169921875
2021-03-16,15.044687271118164,48.36235809326172,162.35000610351562,116.4481201171875,76.90840148925781,50363.9609375,114019.0,32825.94921875,6055.43017578125,6803.60009765625,14557.580078125,3962.7099609375,29027.689453125,13471.5703125,29921.08984375,2319.52001953125
2021-03-17,15.044687271118164,48.424644470214844,163.50999450683594,115.57669830322266,76.97486877441406,49801.62109375,116549.0,33015.37109375,6054.81982421875,6762.7001953125,14596.6103515625,3974.1201171875,29034.119140625,13525.2001953125,29914.330078125,2336.389892578125
2021-03-18,14.331171035766602,47.534812927246094,162.55999755859375,114.40633392333984,76.19412994384766,49216.51953125,114835.0,32862.30078125,6062.7900390625,6779.7001953125,14775.51953125,3915.4599609375,29405.720703125,13116.169921875,30216.75,2267.590087890625
2021-03-19,14.644421577453613,48.122108459472656,163.24000549316406,115.1153793334961,75.15594482421875,49858.23828125,116222.0,32627.970703125,5997.9599609375,6708.7001953125,14621.0,3913.10009765625,28990.939453125,13215.240234375,29792.05078125,2287.550048828125
2021-03-22,14.618318557739258,47.9797248840332,163.0,116.40536499023438,75.68749237060547,49771.2890625,114979.0,32731.19921875,5968.47998046875,6726.10009765625,14657.2099609375,3940.590087890625,28885.33984375,13377.5400390625,29174.150390625,2266.840087890625
2021-03-23,14.209352493286133,47.06319808959961,161.80999755859375,117.45616149902344,75.57952117919922,50051.44140625,113262.0,32423.150390625,5945.2998046875,6699.2001953125,14662.01953125,3910.52001953125,28497.380859375,13227.7001953125,28995.919921875,2185.68994140625
2021-03-24,14.583512306213379,45.98649978637695,162.3699951171875,118.08832550048828,75.15594482421875,49180.30859375,112064.0,32420.060546875,5947.2900390625,6712.89990234375,14610.3896484375,3889.139892578125,27918.140625,12961.8896484375,28405.51953125,2134.27001953125
2021-03-25,14.252860069274902,46.20006561279297,161.77999877929688,117.15716552734375,75.92118072509766,48440.12109375,113750.0,32619.48046875,5952.41015625,6674.7998046875,14621.3603515625,3909.52001953125,27899.609375,12977.6796875,28729.880859375,2183.1201171875
2021-03-26,14.59221363067627,47.40134048461914,162.24000549316406,116.74707794189453,77.5585708618164,49008.5,114781.0,33072.87890625,5988.81005859375,6740.60009765625,14748.9404296875,3974.5400390625,28336.4296875,13138.73046875,29176.69921875,2221.47998046875
2021-03-29,14.60961627960205,47.07209777832031,160.30999755859375,115.75613403320312,77.10746002197266,49008.5,115419.0,33171.37109375,6015.509765625,6736.2001953125,14817.7197265625,3971.090087890625,28338.30078125,13059.650390625,29384.51953125,2158.679931640625
2021-03-30,14.374680519104004,47.22337341308594,157.57000732421875,116.36264038085938,77.20770263671875,50136.578125,116850.0,33066.9609375,6088.0400390625,6772.10009765625,15008.6103515625,3958.550048828125,28577.5,13045.3896484375,29432.69921875,2195.800048828125
2021-03-31,14.452991485595703,47.463626861572266,159.9600067138672,115.71339416503906,76.73987579345703,49509.1484375,116634.0,32981.55078125,6067.22998046875,6713.60009765625,15008.33984375,3972.889892578125,28378.349609375,13246.8701171875,29178.80078125,2220.52001953125
2021-04-01,14.696629524230957,47.92633819580078,161.97999572753906,117.63388061523438,78.1349868774414,50029.828125,115253.0,33153.2109375,6102.9599609375,6737.2998046875,15107.169921875,4019.8701171875,28938.740234375,13480.1103515625,29388.869140625,2253.89990234375
2021-04-02,14.696629524230957,47.92633819580078,161.97999572753906,117.63388061523438,78.1349868774414,50029.828125,115253.0,33153.2109375,6102.9599609375,6737.2998046875,15107.169921875,4019.8701171875,28938.740234375,13480.1103515625,29854.0,2253.89990234375
2021-04-05,14.479095458984375,48.113197326660156,161.9199981689453,117.12060546875,78.43575286865234,49159.3203125,117518.0,33527.19140625,6102.9599609375,6737.2998046875,15107.169921875,4077.909912109375,28938.740234375,13705.58984375,30089.25,2264.889892578125
2021-04-06,14.531304359436035,48.380157470703125,163.22000122070312,117.91620635986328,78.63624572753906,49201.390625,117499.0,33430.23828125,6131.33984375,6823.60009765625,15212.6796875,4073.93994140625,28938.740234375,13698.3798828125,29696.630859375,2259.14990234375
2021-04-07,14.574810981750488,47.66828918457031,162.75999450683594,117.09492492675781,78.69470977783203,49661.76171875,117624.0,33446.26171875,6130.66015625,6885.2998046875,15176.3603515625,4079.949951171875,28674.80078125,13688.83984375,29730.7890625,2223.050048828125
2021-04-08,14.653124809265137,48.059810638427734,164.50999450683594,118.06163787841797,78.4023208618164,49746.2109375,118313.0,33503.5703125,6165.72021484375,6942.2001953125,15202.6796875,4097.169921875,29008.0703125,13829.3095703125,29708.98046875,2242.60009765625
2021-04-09,14.600915908813477,47.65049743652344,163.27000427246094,117.63388061523438,78.31041717529297,49591.3203125,117670.0,33800.6015625,6169.41015625,6915.7998046875,15234.16015625,4128.7998046875,28698.80078125,13900.1904296875,29768.060546875,2243.469970703125
2021-04-12,14.60961627960205,47.365745544433594,162.27999877929688,117.58261108398438,78.76990509033203,47883.37890625,118812.0,33745.3984375,6161.68017578125,6889.10009765625,15215.0,4127.990234375,28453.279296875,13850.0,29538.73046875,2233.780029296875
2021-04-13,14.766239166259766,47.56150436401367,163.42999267578125,118.46368408203125,79.16254425048828,48544.05859375,119297.0,33677.26953125,6184.10009765625,6890.5,15234.3603515625,4141.58984375,28497.25,13996.099609375,29751.609375,2228.919921875
2021-04-14,15.105596542358398,47.80176544189453,162.72000122070312,118.08724212646484,78.74481964111328,48544.05859375,120295.0,33730.890625,6208.580078125,6939.60009765625,15209.150390625,4124.66015625,28900.830078125,13857.83984375,29620.990234375,2247.719970703125
2021-04-15,15.201310157775879,48.2377815246582,165.35000610351562,120.06339263916016,80.12324523925781,48803.6796875,120701.0,34035.98828125,6234.14013671875,6983.5,15255.330078125,4170.419921875,28793.140625,14038.759765625,29642.689453125,2257.070068359375
2021-04-16,15.175206184387207,48.36235809326172,166.35000610351562,119.1309585571289,80.2986831665039,48832.03125,121114.0,34200.671875,6287.06982421875,7019.5,15459.75,4185.47021484375,28969.7109375,14052.33984375,29683.369140625,2262.669921875
2021-04-19,15.192607879638672,48.18439483642578,165.88999938964844,118.78878784179688,80.45740509033203,47949.421875,120934.0,34077.62890625,6296.68994140625,7000.10009765625,15368.3896484375,4163.259765625,29106.150390625,13914.76953125,29685.369140625,2232.0
2021-04-20,15.166505813598633,47.79286193847656,166.47999572753906,119.3363037109375,81.11737823486328,47705.80078125,120062.0,33821.30078125,6165.10986328125,6859.89990234375,15129.509765625,4134.93994140625,29135.73046875,13786.26953125,29100.380859375,2188.2099609375
2021-04-21,15.105596542358398,48.08651351928711,168.1300048828125,119.57575225830078,81.65203094482422,47705.80078125,120062.0,34137.30859375,6210.5498046875,6895.2998046875,15195.9697265625,4173.419921875,28621.919921875,13950.2197265625,28508.55078125,2239.6298828125
2021-04-22,15.227415084838867,47.917442321777344,167.0399932861328,120.09761047363281,81.20926666259766,48080.671875,119371.0,33815.8984375,6267.27978515625,6938.2001953125,15320.51953125,4134.97998046875,28755.33984375,13818.41015625,29188.169921875,2232.610107421875
2021-04-23,15.349233627319336,48.61150360107422,166.39999389648438,119.81534576416016,81.6854476928711,47878.44921875,120530.0,34043.48828125,6257.93994140625,6938.60009765625,15279.6201171875,4180.169921875,29078.75,14016.8095703125,29020.630859375,2271.860107421875
2021-04-26,15.45365047454834,48.673797607421875,166.83999633789062,119.64423370361328,81.9277114868164,48386.51171875,120595.0,33981.5703125,6275.52001953125,6963.10009765625,15296.33984375,4187.6201171875,28952.830078125,14138.7802734375,29126.23046875,2298.010009765625
2021-04-27,15.584172248840332,48.64710235595703,166.4199981689453,118.60050964355469,81.91934967041016,48944.140625,119388.0,33984.9296875,6273.759765625,6945.0,15249.26953125,4186.72021484375,28941.5390625,14090.2197265625,28991.890625,2301.27001953125
2021-04-28,15.610275268554688,49.01193618774414,166.91000366210938,118.6775894165039,81.7439193725586,49733.83984375,121053.0,33820.37890625,6306.97998046875,6963.7001953125,15292.1796875,4183.18017578125,29071.33984375,14051.0302734375,29053.970703125,2304.159912109375
2021-04-29,15.714690208435059,48.89625549316406,166.22000122070312,118.32685089111328,82.4456558227539,49765.94140625,120066.0,34060.359375,6302.56982421875,6961.5,15154.2001953125,4211.47021484375,29303.259765625,14082.5498046875,29053.970703125,2295.4599609375
2021-04-30,15.584172248840332,48.033119201660156,165.66000366210938,118.60050964355469,82.771484375,48782.359375,118894.0,33874.8515625,6269.47998046875,6969.7998046875,15135.91015625,4181.169921875,28724.880859375,13962.6796875,28812.630859375,2266.449951171875
